"Câu hỏi","Lựa chọn A","Lựa chọn B","Lựa chọn C","Lựa chọn D","Đáp án đúng"
"…….… là một hệ thống các giá trị, các chuẩn mực, các quan niệm và hành vi của doanh nghiệp, chi phối hoạt động của mọi thành viên trong doanh nghiệp và tạo nên bản sắc kinh doanh riêng của doanh nghiệp.","Văn hóa doanh nghiệp","Văn hóa kinh doanh","Triết lý kinh doanh","Văn hóa doanh nhân","A"
"Các khía cạnh dưới đây KHÔNG thể hiện đạo đức của doanh nhân","Có trách nhiệm với người khác trong tổ chức và ngoài xã hội","Có trình độ chuyên môn tốt","Có trách nhiệm với công việc","Hướng tới điều thiện","B"
"Đối tượng hữu quan bên ngoài doanh nghiệp không phải là đối tượng nào sau đây:","Nhà cung cấp","Khách hàng","Đối thủ cạnh tranh","Chủ sở hữu","D"
"Hoạt động nào sau đây không được coi là thể hiện nghĩa vụ nhân văn của doanh nghiệp:","Thực hiện các hành động bảo vệ môi trường.","Thành lập các tổ chức từ thiện và ủng hộ bà con bị lũ lụt","Đóng góp tiền cho giáo dục, nghệ thuật, môi trường và cho những người khuyết tật","Xây nhà tình nghĩa, lớp học tình thương cho người nghèo","A"
"Theo lý thuyết về phong cách lãnh đạo của Goleman, khi người quản lý đánh giá cao sự nhiệt tình, mong muốn của cấp dưới và chủ yếu dựa vào mối quan hệ gắn bó và sự tin cậy để khích lệ tính năng động, sáng tạo và sự mạo hiểm của họ, người quản lý áp dụng phong cách lãnh đạo nào dưới đây","Gia trưởng","Bằng hữu","Dân chủ","Ủy thác","B"
"Để bảo vệ người tiêu dùng, Liên hợp quốc đã có bản hướng dẫn gửi Chính phủ các nước thành viên. Người tiêu dùng có quyền gì?","Cả 3 đáp án trên đều đúng","Quyền được thỏa mãn những nhu cầu cơ bản.","Quyền được lựa chọn.","Quyền được thông tin.","A"
"Hành động nào sau đây có thể khiến cho doanh nghiệp có văn hóa yếu kém?","Luôn tạo áp lực cho nhân viên và sa thải nhân viên một cách tùy tiện","Yêu cầu tất cả thành viên trong công ty chấp hành nội quy, quy định của công ty, doanh nghiệp","Giải quyết việc làm một cách chủ động, nhân viên thoải mái làm việc trong khuôn khổ nội quy của công ty","Tạo môi trường cạnh tranh lành mạnh cho nhân viên tích cực tham gia công việc","A"
"Doanh nhân là ____","Người tham gia quản lý doanh nghiệp","Cả 3 đáp án trên","Người tham gia tổ chức, điều hành hoạt động của doanh nghiệp","Người làm kinh doanh","B"
"Người lãnh đạo có vai trò quan trọng trong việc dẫn dắt thay đổi văn hoá vì:","Họ có kinh nghiệm","Cả 3 đáp án trên đều sai","Họ trực tiếp đưa ra và hướng dẫn các nỗ lực thay đổi","Họ có quyền lực","C"
"Nội dung đạo đức kinh doanh trong quản trị nguồn nhân lực liên quan đến những vấn đề cơ bản nào?","Bắt buộc người lao động thực hiện những công việc nguy hiểm mà không cho phép họ có cơ hội từ chối, bất chấp thể trạng, bất chấp khả năng và năng lực của họ","Không trang bị đầy đủ các trang thiết bị an toàn lao động cho người lao động, cố tình duy trì các điều kiện nguy hiểm và không đảm bảo sức khỏe tại nơi làm việc","Đạo đức trong tuyển dụng, bổ nhiệm, sử dụng lao động, đạo đức trong đánh giá người lao động, đạo đức trong bảo vệ người lao động.","Che giấu thông tin về mối nguy hiểm của công việc, làm ngơ trước một vụ việc có thể dự đoán được và có thể phòng ngừa được.","C"
"Nhận thấy tương lai của ngành bán lẻ có nhiều biến động do sự xuất hiện của thương mại điện tử trong khi công nghệ sản xuất xe ô tô đang có thay đổi mạnh mẽ, ông Phạm Nhật Vượng đã quyết định bán các doanh nghiệp thuộc lĩnh vực bán lẻ của tập đoàn và chuyển hướng đầu tư sang sản xuất và kinh doanh xe ô tô. Điều này cho thấy đặc điểm gì trong tố chất doanh nhân của ông Vượng?","Không có phương án đúng","Khả năng thích ứng với môi trường","Năng lực quan hệ xã hội tốt","Say mê kinh doanh","B"
"Yếu tố nào thường cản trở tinh thần khởi nghiệp:","Sự bất định của tương lại","Sự giới hạn về nguồn lực","Tất cả các phương án A, B, C","Sự thấu hiểu về các cơ hội","B"
"Doanh nghiệp có văn hóa mạnh sẽ:","Giúp cho nhân viên thỏa mái và chủ động hơn trong việc đinh hướng cách nghĩ và cách làm việc","Tạo ra niềm tự hào cho nhân viên về doanh nghiệp, từ đó mọi người luôn sống phấn đâu hết mình vì mục tiêu chung","Giúp lãnh đạo dễ dàng hơn trong việc quản lý doanh nghiệp","Cả A, B, C đều đúng","D"
"Yếu tố nào dưới đây không phải là yếu tố cấu thành của Văn hóa kinh doanh:","Văn hóa doanh nghiệp, văn hóa ứng xử trong hoạt động kinh doanh","Văn hóa doanh nhân, đạo đức kinh doanh","Văn hóa nghệ thuật","Triết lý kinh doanh, văn hóa doanh nhân","C"
"Mô hình văn hóa doanh nghiệp nào thường xuất hiện trong những nhóm làm việc của các chuyên gia?","Văn hóa gia đình","Văn hóa tháp Eiffel","Văn hóa lò ấp trứng","Văn hóa tên lửa định đường","D"
"Các cơ hội khởi nghiệp có thể đến từ","Cả phương án A và B","Nhu cầu của thị trường","Sự phát triển công nghệ","Các ý tưởng ngẫu hứng của người khởi nghiệp","A"
"Ai là người có nghĩa vụ thực hiện các giá trị đã được xây dựng trong doanh nghiệp:","Khách hàng","Nhân viên","Nhà cung cấp","Các thành viên trong doanh nghiệp","D"
"Chiến lược khác biệt hóa đòi hỏi:","Đẩy mạnh kênh phân phối","Sản phẩm được thiết kế đặc biệt","Đẩy mạnh chiến lược Marketing","Sản phẩm được thiết kế để sản xuất hàng loạt","B"
"Khi bước vào tất cả các điểm giao dịch của ngân hàng BIDV, chúng ta đều thấy các nhân viên mặc đồng phục và có cách giao tiếp thân thiện, làm việc chuyên nghiệp trong những tòa nhà được trang trí gần như giống nhau. Những biểu hiện như vậy thuộc cấp độ nào trong văn hoá doanh nghiệp của BIDV?","Cấp độ thứ ba","Cấp độ thứ nhất","Cấp độ thứ hai","Cả 3 cấp độ trên","B"
"Đâu không phải là các yếu tố cơ bản khi xây dựng sứ mệnh:","Lịch sử","Những năng lực đặc biệt","Môi trường của doanh nghiệp (tổ chức)","Hệ thống các giá trị","D"
"Văn hóa doanh nghiệp - đó là hệ thống những quan niệm, những ..., những giá trị, và những khuôn mẫu hành vi được tất cả các thành viên trong doanh nghiệp nhận thức và thực hiện theo.","triết lý","hệ thống các giá trị","quy tắc","biểu tượng","D"
"Các khía cạnh dưới đây KHÔNG thể hiện năng lực của doanh nhân,","Đạo đức doanh nhân","Trình độ chuyên môn","Khả năng lãnh đạo, kỹ năng quản lý","Khả năng làm việc trí óc và thể lực","A"
"Đối tượng hữu quan bên trong doanh nghiệp không phải là đối tượng nào sau đây:","Nhà Quản lý","Nhân viên","Chủ sở hữu","Nhà cung cấp","D"
"Tinh thần khởi nghiệp (entrepreneurship) là sự theo đuổi các...trong điều kiện nguồn lực bị giới hạn","đam mê","phương án","cơ hội","kế hoạch","C"
"Trong bản hướng dẫn về bảo vệ người tiêu dùng của Liên hiệp quốc gửi Chính phủ các nước thành viên, quyền được cung cấp những thông tin cần thiết để có sự lựa chọn và được bảo vệ trước những quảng cáo hoặc ghi nhãn không trung thực là quyền nào sau đây:","Quyền được thông tin","Quyền được an toàn","Quyền được lựa chọn","Quyền được lắng nghe","A"
"Đặc trưng của văn hoá không bao gồm:","Tính kế thừa","Tính sao chép","Tính tập quán","Tính khách quan","B"
"Phương án nào dưới đây không phải là tiêu chuẩn đánh giá văn hóa doanh nhân","Tiêu chuẩn về tài sản cá nhân","Tiêu chuẩn về trình độ năng lực","Tiêu chuẩn về đạo đức","Tiêu chuẩn về sức khỏe","D"
"Startup có thể hiểu là:","Một tổ chức được thiết kế nhằm cung cấp sản phẩm và dịch vụ trong những điều kiện chưa chắc chắn.","Tất cả các phương án A, B, C","Một hình thức khởi nghiệp gắn với công nghệ, đổi mới, sáng tạo","Một công ty nhỏ, có tuổi đời vài ba năm.","B"
"Triết lý kinh doanh là những …………, …………mà doanh nghiệp, doanh nhân và các chủ thể kinh doanh theo đuổi trong quá trình hoạt động của doanh nghiệp.","quan niệm/ giá trị","quan niệm/ hành vi","giá trị/ chuẩn mực","hành vi/ chuẩn mực","A"
"Việc tìm kiếm những thị trường mới cho những sản phẩm hiện có là","Chiến lược thâm nhập thị trường","Chiến lược đa dạng hoá trong kinh doanh","Chiến lược mở rộng thị trường","Chiến lược phát triển sản phẩm","C"
