"Câu hỏi","Lựa chọn A","Lựa chọn B","Lựa chọn C","Lựa chọn D","Đáp án đúng"
"…….… là một hệ thống các giá trị, các chuẩn mực, các quan niệm và hành vi của doanh nghiệp, chi phối hoạt động của mọi thành viên trong doanh nghiệp và tạo nên bản sắc kinh doanh riêng của doanh nghiệp.","Văn hóa doanh nghiệp","Văn hóa kinh doanh","Triết lý kinh doanh","Văn hóa doanh nhân","A"
"Các khía cạnh dưới đây KHÔNG thể hiện đạo đức của doanh nhân","Có trách nhiệm với người khác trong tổ chức và ngoài xã hội","Có trình độ chuyên môn tốt","Có trách nhiệm với công việc","Hướng tới điều thiện","B"
"Đối tượng hữu quan bên ngoài doanh nghiệp không phải là đối tượng nào sau đây:","Nhà cung cấp","Khách hàng","Đối thủ cạnh tranh","Chủ sở hữu","D"
"Hoạt động nào sau đây không được coi là thể hiện nghĩa vụ nhân văn của doanh nghiệp:","Thực hiện các hành động bảo vệ môi trường.","Thành lập các tổ chức từ thiện và ủng hộ bà con bị lũ lụt","Đóng góp tiền cho giáo dục, nghệ thuật, môi trường và cho những người khuyết tật","Xây nhà tình nghĩa, lớp học tình thương cho người nghèo","A"
"Theo lý thuyết về phong cách lãnh đạo của Goleman, khi người quản lý đánh giá cao sự nhiệt tình, mong muốn của cấp dưới và chủ yếu dựa vào mối quan hệ gắn bó và sự tin cậy để khích lệ tính năng động, sáng tạo và sự mạo hiểm của họ, người quản lý áp dụng phong cách lãnh đạo nào dưới đây","Gia trưởng","Bằng hữu","Dân chủ","Ủy thác","B"
"Để bảo vệ người tiêu dùng, Liên hợp quốc đã có bản hướng dẫn gửi Chính phủ các nước thành viên. Người tiêu dùng có quyền gì?","Cả 3 đáp án trên đều đúng","Quyền được thỏa mãn những nhu cầu cơ bản.","Quyền được lựa chọn.","Quyền được thông tin.","A"
"Hành động nào sau đây có thể khiến cho doanh nghiệp có văn hóa yếu kém?","Luôn tạo áp lực cho nhân viên và sa thải nhân viên một cách tùy tiện","Yêu cầu tất cả thành viên trong công ty chấp hành nội quy, quy định của công ty, doanh nghiệp","Giải quyết việc làm một cách chủ động, nhân viên thoải mái làm việc trong khuôn khổ nội quy của công ty","Tạo môi trường cạnh tranh lành mạnh cho nhân viên tích cực tham gia công việc","A"
"Doanh nhân là ____","Người tham gia quản lý doanh nghiệp","Cả 3 đáp án trên","Người tham gia tổ chức, điều hành hoạt động của doanh nghiệp","Người làm kinh doanh","B"
"Người lãnh đạo có vai trò quan trọng trong việc dẫn dắt thay đổi văn hoá vì:","Họ có kinh nghiệm","Cả 3 đáp án trên đều sai","Họ trực tiếp đưa ra và hướng dẫn các nỗ lực thay đổi","Họ có quyền lực","C"
"Nội dung đạo đức kinh doanh trong quản trị nguồn nhân lực liên quan đến những vấn đề cơ bản nào?","Bắt buộc người lao động thực hiện những công việc nguy hiểm mà không cho phép họ có cơ hội từ chối, bất chấp thể trạng, bất chấp khả năng và năng lực của họ","Không trang bị đầy đủ các trang thiết bị an toàn lao động cho người lao động, cố tình duy trì các điều kiện nguy hiểm và không đảm bảo sức khỏe tại nơi làm việc","Đạo đức trong tuyển dụng, bổ nhiệm, sử dụng lao động, đạo đức trong đánh giá người lao động, đạo đức trong bảo vệ người lao động.","Che giấu thông tin về mối nguy hiểm của công việc, làm ngơ trước một vụ việc có thể dự đoán được và có thể phòng ngừa được.","C"
"Nhận thấy tương lai của ngành bán lẻ có nhiều biến động do sự xuất hiện của thương mại điện tử trong khi công nghệ sản xuất xe ô tô đang có thay đổi mạnh mẽ, ông Phạm Nhật Vượng đã quyết định bán các doanh nghiệp thuộc lĩnh vực bán lẻ của tập đoàn và chuyển hướng đầu tư sang sản xuất và kinh doanh xe ô tô. Điều này cho thấy đặc điểm gì trong tố chất doanh nhân của ông Vượng?","Không có phương án đúng","Khả năng thích ứng với môi trường","Năng lực quan hệ xã hội tốt","Say mê kinh doanh","B"
"Yếu tố nào thường cản trở tinh thần khởi nghiệp:","Sự bất định của tương lại","Sự giới hạn về nguồn lực","Tất cả các phương án A, B, C","Sự thấu hiểu về các cơ hội","B"
"Doanh nghiệp có văn hóa mạnh sẽ:","Giúp cho nhân viên thỏa mái và chủ động hơn trong việc đinh hướng cách nghĩ và cách làm việc","Tạo ra niềm tự hào cho nhân viên về doanh nghiệp, từ đó mọi người luôn sống phấn đâu hết mình vì mục tiêu chung","Giúp lãnh đạo dễ dàng hơn trong việc quản lý doanh nghiệp","Cả A, B, C đều đúng","D"
"Yếu tố nào dưới đây không phải là yếu tố cấu thành của Văn hóa kinh doanh:","Văn hóa doanh nghiệp, văn hóa ứng xử trong hoạt động kinh doanh","Văn hóa doanh nhân, đạo đức kinh doanh","Văn hóa nghệ thuật","Triết lý kinh doanh, văn hóa doanh nhân","C"
"Mô hình văn hóa doanh nghiệp nào thường xuất hiện trong những nhóm làm việc của các chuyên gia?","Văn hóa gia đình","Văn hóa tháp Eiffel","Văn hóa lò ấp trứng","Văn hóa tên lửa định đường","D"
"Các cơ hội khởi nghiệp có thể đến từ","Cả phương án A và B","Nhu cầu của thị trường","Sự phát triển công nghệ","Các ý tưởng ngẫu hứng của người khởi nghiệp","A"
"Ai là người có nghĩa vụ thực hiện các giá trị đã được xây dựng trong doanh nghiệp:","Khách hàng","Nhân viên","Nhà cung cấp","Các thành viên trong doanh nghiệp","D"
"Chiến lược khác biệt hóa đòi hỏi:","Đẩy mạnh kênh phân phối","Sản phẩm được thiết kế đặc biệt","Đẩy mạnh chiến lược Marketing","Sản phẩm được thiết kế để sản xuất hàng loạt","B"
"Khi bước vào tất cả các điểm giao dịch của ngân hàng BIDV, chúng ta đều thấy các nhân viên mặc đồng phục và có cách giao tiếp thân thiện, làm việc chuyên nghiệp trong những tòa nhà được trang trí gần như giống nhau. Những biểu hiện như vậy thuộc cấp độ nào trong văn hoá doanh nghiệp của BIDV?","Cấp độ thứ ba","Cấp độ thứ nhất","Cấp độ thứ hai","Cả 3 cấp độ trên","B"
"Đâu không phải là các yếu tố cơ bản khi xây dựng sứ mệnh:","Lịch sử","Những năng lực đặc biệt","Môi trường của doanh nghiệp (tổ chức)","Hệ thống các giá trị","D"
"Văn hóa doanh nghiệp - đó là hệ thống những quan niệm, những ..., những giá trị, và những khuôn mẫu hành vi được tất cả các thành viên trong doanh nghiệp nhận thức và thực hiện theo.","triết lý","hệ thống các giá trị","quy tắc","biểu tượng","D"
"Các khía cạnh dưới đây KHÔNG thể hiện năng lực của doanh nhân,","Đạo đức doanh nhân","Trình độ chuyên môn","Khả năng lãnh đạo, kỹ năng quản lý","Khả năng làm việc trí óc và thể lực","A"
"Đối tượng hữu quan bên trong doanh nghiệp không phải là đối tượng nào sau đây:","Nhà Quản lý","Nhân viên","Chủ sở hữu","Nhà cung cấp","D"
"Tinh thần khởi nghiệp (entrepreneurship) là sự theo đuổi các...trong điều kiện nguồn lực bị giới hạn","đam mê","phương án","cơ hội","kế hoạch","C"
"Trong bản hướng dẫn về bảo vệ người tiêu dùng của Liên hiệp quốc gửi Chính phủ các nước thành viên, quyền được cung cấp những thông tin cần thiết để có sự lựa chọn và được bảo vệ trước những quảng cáo hoặc ghi nhãn không trung thực là quyền nào sau đây:","Quyền được thông tin","Quyền được an toàn","Quyền được lựa chọn","Quyền được lắng nghe","A"
"Đặc trưng của văn hoá không bao gồm:","Tính kế thừa","Tính sao chép","Tính tập quán","Tính khách quan","B"
"Phương án nào dưới đây không phải là tiêu chuẩn đánh giá văn hóa doanh nhân","Tiêu chuẩn về tài sản cá nhân","Tiêu chuẩn về trình độ năng lực","Tiêu chuẩn về đạo đức","Tiêu chuẩn về sức khỏe","D"
"Startup có thể hiểu là:","Một tổ chức được thiết kế nhằm cung cấp sản phẩm và dịch vụ trong những điều kiện chưa chắc chắn.","Tất cả các phương án A, B, C","Một hình thức khởi nghiệp gắn với công nghệ, đổi mới, sáng tạo","Một công ty nhỏ, có tuổi đời vài ba năm.","B"
"Triết lý kinh doanh là những …………, …………mà doanh nghiệp, doanh nhân và các chủ thể kinh doanh theo đuổi trong quá trình hoạt động của doanh nghiệp.","quan niệm/ giá trị","quan niệm/ hành vi","giá trị/ chuẩn mực","hành vi/ chuẩn mực","A"
"Việc tìm kiếm những thị trường mới cho những sản phẩm hiện có là","Chiến lược thâm nhập thị trường","Chiến lược đa dạng hoá trong kinh doanh","Chiến lược mở rộng thị trường","Chiến lược phát triển sản phẩm","C"
"Các khía cạnh dưới đây KHÔNG thể hiện đạo đức của doanh nhân","Có trách nhiệm với công việc","Hướng tới điều thiện","Nhiều kinh nghiệm quản lý","Có trách nhiệm với người khác trong tổ chức và ngoài xã hội","C"
"Ai là doanh nhân khởi xướng phong trào người Việt dùng hàng Việt từ 100 năm trước?","Đỗ Hữu Phương","Lê Phát Đạt","Bạch Thái Bưởi","Lương Văn Can","C"
"Văn hóa doanh nhân là hệ thống các giá trị, các chuẩn mực, các quan niệm và hành vi của doanh nhân trong quá trình...","giao tiếp với khách hàng","quản trị kinh doanh nghiệp","tuyển dụng và đãi ngộ nhân viên","lãnh đạo và quản lý doanh nghiệp","D"
"Văn hóa doanh nghiệp - đó là hệ thống những quan niệm, những biểu tượng, những giá trị, và những ... được tất cả các thành viên trong doanh nghiệp nhận thức và thực hiện theo.","quy tắc","sứ mệnh","hệ thống các giá trị","khuôn mẫu hành vi","D"
"Yếu tố nào thường cản trở tinh thần khởi nghiệp:","Sự bất định của tương lai","Tất cả các phương án A, D, C","Sự giới hạn về nguồn lực","Sự thiếu hiểu về các cơ hội","B"
"Đối với ..........., nghĩa vụ kinh tế của Doanh nghiệp là tạo công ăn việc làm với mức thù lao xứng đáng cơ hội việc làm như nhau, cơ hội phát triển nghề và chuyên môn, hưởng thù lao tương xứng, hưởng môi trường lao động an toàn và1 đảm bảo quyền riêng tư cá nhân nơi làm việc.","người tiêu dùng","đối thủ cạnh tranh","chủ sở hữu","người lao động","C"
"IPO là hoạt động ... phát hành cổ phiếu lần đầu ra công chúng được viết tắt là:","Sáp nhập và mua bán doanh nghiệp","Kêu gọi các quỹ đầu tư","Phát hành cổ phiếu lần đầu ra công chúng","Kêu gọi các nhà đầu tư","C"
"Theo phân loại của Edgar H. Schein, cấp độ thứ nhất trong văn hoá doanh nghiệp được biểu hiện qua:","Những quá trình và cấu trúc hữu hình của doanh nghiệp","Những quan niệm chung","Tất cả các đáp án trên","Những giá trị được chấp nhận","A"
"Hành trình khởi nghiệp có thể hiểu là","Quá trình xây dựng phương án kinh doanh","Con đường từ ý tưởng đến sản phẩm hoàn thiện","Con đường từ phòng thí nghiệm ra thị trường","Quá trình gọi vốn đầu tư","B"
"Văn hóa là tổng hoà những giá trị vật chất và tinh thần cũng như các phương thức tạo ra chúng... sử dụng các giá trị đó vì sự tiến bộ của loài người và sự truyền thụ các giá trị đó từ thế hệ này sang thế hệ khác","tập quán","tiềm năng","thói quen","kỹ năng","B"
"\"Ít quan tâm đến năng suất, hiệu quả mà ưu tiên cho bầu không khí của tổ chức\" là nhược điểm của mô hình văn hóa doanh nghiệp nào?","Mô hình lò ấp trứng","Mô hình văn hóa gia đình","Mô hình tháp Eiffel","Mô hình tên lửa dẫn đường","B"
"Phương án nào dưới đây KHÔNG phải là tiêu chuẩn đánh giá văn hóa doanh nhân","Tiêu chuẩn về sức khỏe","Tiêu chuẩn về trình độ năng lực","Tiêu chuẩn về số năm kinh nghiệm","Tiêu chuẩn về đạo đức","A"
"Trong bản hướng dẫn bảo vệ người tiêu dùng của Liên hiệp quốc gửi Chính phủ các nước thành viên, quyền được cung cấp những thông tin cần thiết để có sự lựa chọn và được bảo vệ trước những1 quảng cáo hoặc ghi nhãn không trung thực là quyền nào sau đây:","Quyền được thông tin","Quyền được lựa chọn","Quyền được lắng nghe","Quyền được an toàn","A"
"Năng lực của doanh nhân là","Trình độ chuyên môn","Tất cả các phương án trên đúng","Khả năng làm việc trí óc và thể lực","Khả năng lãnh đạo, kỹ năng quản lý","B"
"Các khía cạnh dưới đây KHÔNG thể hiện năng lực của doanh nhân,","Trình độ chuyên môn","Đạo đức doanh nhân","Khả năng làm việc trí óc và thể lực","Khả năng lãnh đạo, kỹ năng quản lý","B"
"Trách nhiệm XH là nghĩa vụ mà một DN phải thực hiện đối với XH. Có trách nhiệm với XH là tăng đến mức tối đa các ............. và giảm tới mức tối thiểu các........... đối với XH.2","tác động tích cực, hậu quả tiêu cực","tác động tích cực, trách nhiệm","nghĩa vụ kinh tế, hậu quả tiêu cực","tác động tiêu cực, hậu quả tích cực","A"
"26. Triết lý kinh doanh 3P: Product - People - Profit có ý nghĩa là:","Làm chủ công nghệ, sản xuất sản phẩm dẫn dụ và định hướng khách hàng","Bản sản phẩm mà doanh nghiệp có để thu lợi nhuận","Bản sản phẩm mà khách hàng cần","Lợi nhuận là trung tâm","C"
"Các yếu tố ảnh hưởng đến sự hình thành văn hóa doanh nghiệp.","Văn hóa dân tộc","Nhà lãnh đạo doanh nghiệp","Những giá trị văn hóa học hỏi được","Cả 3 đáp án trên.","D"
"Quan niệm cho rằng: ""Văn hóa bao gồm mọi năng lực,thói quen và tập quán của con người với tư cách là thành viên của xã hội""","Chưa đầy đủ","Đúng nhưng chưa đủ","Sai","Đúng","B"
"Phát biểu nào sau đây không phải là vai trò của đạo đức kinh doanh trong quản trị doanh nghiệp:","Đạo đức kinh doanh góp phần vào sự cam kết và tận tâm của nhân viên.","Đạo đức kinh doanh góp phần bảo tồn và phát triển các giá trị của Doanh nghiệp","Đạo đức kinh doanh góp phần làm hài lòng khách hàng.","Đạo đức kinh doanh góp phần tạo ra lợi nhuận cho Doanh nghiệp","D"
"Đặc tính cơ bản của văn hóa đồng đội","Quản lý được coi là việc hành chính lặt vặt","Quản lý trên cơ sở quyền lực cá nhân lãnh đạo","Quản lý là việc tiếp tục giải quyết vấn đề","Quản lý dựa vào công việc hơn là dựa vào phẩm chất cá nhân","D"
"Các bộ phận cấu thành văn hóa doanh nhân gồm","Phong cách của doanh nhân","Đạo đức","Năng lực và tố chất","Tất cả các phương án trên đúng","D"
"Hành vi định cho hàng hoá của công ty mình những giá bán thấp hơn giá thành nhằm mục đích thôn tính để thu hẹp cạnh tranh là:","Bán phá giá","Phân thị trường","Cố định giá","Dèm pha hàng hoá của đối thủ cạnh tranh","A"
"............ xác định mục đích của tổ chức và trả lời câu hỏi: ""lý do tồn tại, hoạt động của tổ chức là gì?""","Sứ mệnh","Chiến lược","Mục tiêu","Đánh giá","A"
"............ trong trách nhiệm XH của Doanh nghiệp là phải sản xuất hàng hoá và dịch vụ mà XH cần và muốn; tìm kiếm nguồn cung ứng lao động; phát hiện những nguồn tài nguyên mới, thúc đẩy tiến bộ công nghệ; phát triển sản phẩm; phân phối các nguồn sản xuất hàng1 hoá, dịch vụ trong hệ thống xã hội.","Nghĩa vụ kinh tế","Nghĩa vụ nhân văn","Nghĩa vụ pháp lý","Nghĩa vụ đạo đức","A"
"Đâu KHÔNG phải là đặc điểm của một bản tuyên bố sứ mệnh:","Tập trung vào thị trường chứ không phải sản phẩm cụ thể","Tập trung vào sản phẩm cụ thể chứ không phải thị trường","Khả thi","Cụ thể","B"
"Mô hình văn hóa doanh nghiệp thường được áp dụng cho các công ty khởi nghiệp công nghệ.","Mô hình văn hóa gia đình","Mô hình lò ấp trứng","Mô hình tên lửa dẫn đường","Mô hình tháp Eiffel","C"
"........... là một hệ thống các giá trị, các chuẩn mực, các quan niệm và hành vi của doanh nghiệp, chi phối hoạt động của mọi thành viên trong doanh nghiệp và tạo nên bản sắc kinh doanh riêng của doanh nghiệp.","Văn hóa kinh doanh","Triết lý kinh doanh","Văn hóa doanh nhân","Văn hóa doanh nghiệp","D"
"Mô hình nào được áp dụng nhiều ở các doanh nghiệp lâu đời ở Châu Âu, có cấu trúc quan trọng hơn chức năng?","Mô hình lò ấp trứng","Mô hình tên lửa dẫn đường","Mô hình tháp Eiffel","Mô hình văn hóa gia đình","C"
"Theo lý thuyết về phong cách lãnh đạo của Goleman, khi người quản lý đánh giá cao sự nhiệt tình, mong muốn của cấp dưới và chủ yếu dựa vào mối quan hệ gắn bó và sự tin cậy để khích lệ tính năng động, sáng tạo và sự mạo hiểm của họ,2 người quản lý áp dụng phong cách lãnh đạo nào dưới đây","Gia trưởng","Bằng hữu","Dân chủ","Ủy thác","B"
"........... làm cho mọi người trong xã hội có sự giống nhau và làm cho các xã hội khác biệt nhau.","Văn hoá","Thẩm mỹ","Ngôn ngữ","Giáo dục","A"
"Triết lý kinh doanh là những ........... mà doanh nghiệp, doanh nhân và các chủ thể kinh doanh theo đuổi trong quá trình hoạt động của doanh nghiệp.","hành vi/ chuẩn mực","quan niệm/ hành vi","giá trị/ chuẩn mực","quan niệm/ giá trị","D"
"Các cơ hội khởi nghiệp có thể đến từ","Các ý tưởng ngẫu hứng của người khởi nghiệp","Sự phát triển công nghệ","Cả phương án A và B","Nhu cầu của thị trường","C"
"Đặt kể chưa nhận được bằng đại học từ Đại học Harvard do bỏ học giữa chừng, Bill Gates, người sáng lập Tập đoàn Microsoft đã dành rất nhiều thời gian tự học và trở nên rất giỏi và1 lập trình. Điều này cho thấy khía cạnh nào trong văn hóa doanh nhân của ông?","Năng lực","Đạo đức","Phong cách","Tố chất","A"
"Doanh nghiệp sử dụng chiến lược chi phí thấp không chú trọng:","Gia công, chế biến","Đầu tư cho nghiên cứu và phát triển","Chuyển giao, sao chép công nghệ","Phân phối","B"
"Bí mật kinh doanh trong doanh nghiệp bị lộ sẽ dẫn đến hậu quả gì?","Mất lợi thế cạnh tranh của doanh nghiệp","Mang lại lợi nhuận cho công ty","Phân chia thị trường","Cố định giá cả","A"
"Mark Zuckerberg, CEO của tập đoàn Facebook đã xây dựng tập đoàn thành nơi làm việc tốt nhất nước Mỹ nhờ coi trọng và đặt niềm tin vào nhân viên, nhân viên luôn được trau dồi năng lực nhờ làm việc với những người giỏi nhất, nhân viên thích được thử thách bằng những công việc khó. Điều này cho thấy ông có đặc điểm của phong cách lãnh đạo nào theo lý thuyết của Daniel Goleman2","Người quan liêu","Con sói đơn độc","Gia trưởng","Bề trên","D"
"\"Think Different\" (nghĩ khác biệt) là slogan của doanh nghiệp nào?","Samsung","Apple","Nokia","Panasonic","B"
"Đâu là biểu hiện của nguyên tắc chuẩn mực về tính trung thực trong đạo đức kinh doanh:","Hối lộ, tham ô, thụt két.","Giữ chữ tín trong kinh doanh","Dùng các thủ đoạn dối trá để kiếm lời","Làm hàng giả, khuyến mại giả, quảng cáo sai sự thật.","B"
"Quản lý theo mục tiêu (MBO) có nhiều đặc trưng ngoại trừ trường hợp nào sau đây?","Những tiến bộ của quá trình đạt mục tiêu được xem xét định kỳ.","Phần thưởng được đưa ra dựa trên cơ sở những tiến bộ đó.","Các mục tiêu về kết quả cụ thể do nhân viên và những người quản lý cùng xác định.","Các mục tiêu tiêu thường chung chung, mờ hồ.","D"
"Đâu là một công cụ thường được sử dụng để xác định các điểm mạnh, điểm yếu, cơ hội và nguy cơ cho tổ chức trong việc xây dựng chiến lược.","Sơ đồ Gantt","SWOT","SMART","KPI (các chỉ số đánh giá kết quả)","B"
"Phương án nào dưới đây không phải là nhân tố bên trong ảnh hưởng đến văn hóa doanh nghiệp?","Lịch sử, truyền thống của doanh nghiệp","Hình thức so hữu của doanh nghiệp","Khách hàng","Ngành nghề kinh doanh của doanh nghiệp","C"
"Sự sáng tạo trong các dự án khởi nghiệp hướng tới mục tiêu:","Tối ưu hóa hoạt động và gia tăng giá trị cho sản phẩm","Thu hút sự chú ý của khách hàng","Tối ưu hóa hoạt động","Thoa man đam mê sang tạo của người khởi nghiệp","A"
"Bất kể chưa nhận được bằng đại học từ Đại họcHarvard do bỏ học giữa chừng, Bill Gates, người sáng lập Tập đoàn Microsoft đã dành rất nhiều thời gian tự học và trở nên rất giỏi về lập trình. Điều này cho thấy khía cạnh nào trong văn hóa doanh nhân của ông?","Phong cách","Tố chất","Năng lực","Đạo đức","B"
"Đặc tính cơ bản của văn hóa đồng đội","Quản lý dựa vao cong viec hơn là dựa vào phẩm chất cá nhân","Quản lý được coi là việc hành chính lặt vặt","Quản lý trên cơ sở quyền lực cá nhân lãnh đạo","Quản lý là việc tiếp tục giải quyết vấn đề","A"
"Đối với …..., nghĩa vụ kinh tế của Doanh nghiệp là cung cấp hàng hoá và dịch vụ, các vấn đề liên quan đến chất lượng sản phẩm, an toàn sản phẩm, định giá, thông tin về sản phẩm, phân phối, cạnh tranh.","người tiêu dùng","người lao động","đối thủ cạnh tranh","chủ sở hữu","A"
"Đối với khách hàng, doanh nghiệp không được có những hành động nào sau đây?","Doanh nghiệp phai thực hiện trọn vẹn nghĩa vụ cần thận, nghĩa là doanh nghiệp phải phòng ngừa mọi khả năng sản phẩm đưa ra thị trường có khiếm khuyết","Thu lợi nhuan ma khong can biet khi co the gây tai nạn hay thiệt hại cho người tiêu dùng.","Doanh nghiệp không được cố tìm cách rang buộc người tiêu dùng bởi bất kỳ cam kết đảm bảo chính thức hay ngầm định nào về trách nhiệm bắt buộc.","Từ ngữ trong lời giới thiệu, trong quảng cáo, trong tuyên bố của doanh nghiệp phải có tính trung thực.","B"
"\"Think Different\" (nghĩ khác biệt) là slogan của doanh nghiệp nào?","Nokia","Panasonic","Samsung","Apple","D"
"Một thương hiệu lụa lâu năm có nhiều cửa hàng ở Hà Nội và TPHCM bị tố bán khăn lụa có 2 mác Made in China và Made in Vietnam. Thực tế họ đã nhập khăn của Trung quốc về và gắn mác của Việt Nam. Khi vụ việc bị phát hiện, ông chủ của thương hiệu đó cho biết sẽ thu hồi các sản phẩm đã bán ra thị trường có xuất xứ Trung Quốc nếu khách hàng có mong muốn đối trả. Thương hiệu này sẽ bồi thường cho khách hàng một cách nghiêm túc. Sự việc vi phạm đến nguyên tắc, chuẩn mực nào trong đạo đức kinh doanh của doanh nghiệp.","Bí mật trung thành với các trách nhiệm đặc biệt","Tính trung thực","Cá B và D","Tôn trọng khách hàng","Chưa xác định được đáp án"
"Điều kiện cơ bản cho sự ra đời của triết lý kinh doanh:","Điều kiện văn hóa, kinh tế chính trị, xã hội, thời gian hoạt động của doanh nghiệp, năng lực lãnh đạo của doanh nhân, sự ủng hộ của khách hàng, sự tự giác của nhân viên","Điều kiện kinh tế, chính trị, pháp luật, thời gian hoạt động của doanh nghiệp, năng lực lãnh đạo của doanh nhân, ủng hộ của khách hàng, sự tự giác của nhân viên","Cơ chế pháp luật, thời gian hoạt động của doanh nghiệp, ủng hộ của khách hàng, năng lực lãnh đạo","Cơ chế luật pháp, thời gian hoạt động của doanh nghiệp, năng lực lãnh đạo của doanh nhân, sự tự giác của nhân viên","A"
"Đâu là nguyên tắc thiết lập mục tiêu?","SMART","STRATEGY","SWOT","MBO","A"
"Văn hóa doanh nghiệp - đó là hệ thống những quan niệm, những ... , những giá trị, và những khuôn mẫu hành vi được tất cả các thành viên trong doanh nghiệp nhận thức và thực hiện theo.","triết lý","quy tắc","biểu tượng","hệ thống các giá trị","A"
"Các thông điệp quảng cáo hạt nêm của một số hãng như ""Ngon từ thịt, ngọt từ xương"" hoặc ""100% làm từ thịt thăn và xương ổng"" khiến bao nhiêu bà nội trợ yên tâm vì có sản phầm thay thể bột ngọt. Tuy nhiên trong thành phần các loại hạt nêm này thịt và xương chỉ có 2% còn lại là tinh bột sắn, bột bắp, muối, đường, chất điều vị .... Như vậy các quảng cáo này đã vi phạm đạo đức về:","Quảng cáo nhằm vào đối tượng nhạy cảm.","Quảng cao có hình thức kho coi, phi thị hieu.","Lôi kéo, nài ép người tiêu dùng rang buộc với sản phẩm.","Quảng cáo phóng đại, thổi phồng về sản phẩm vượt quá mực hợp lý.","D"
"Vinaphone, Mobilephone, Hanoi Mobile đại diện cho yếu tố nào trong môi trường hoạt động của tổ chức dịch vụ viễn thông?","Các khách hàng.","Các đối thù cạnh tranh.","Các nhà cung cấp.","Các bên có liên quan.","B"
"Chiến lược cạnh tranh nào sẽ giúp doanh nghiệp tạo ra sản phẩm độc đáo, khách hàng trung thành, giá bán cao?","chiến lược thị trường ngách","Chiến lược khác biệt hoá","chiến lược chi phí thấp","chiến lược hớt váng","B"
